"","Nom","Sexe","Effectif","Pourcentage_Masc","Pourcentage"
"10049","meddy","M","     3","99.310344828","99.310344828"
"10050","megane","F"," 12159"," 0.049321825"," 0.049321825"
"10051","mehdi","M","     3","99.990968480","99.990968480"
"10052","melaine","F","   245","15.517241379","15.517241379"
"10053","melanie","F","113228"," 0.026488195"," 0.026488195"
"10054","melek","F","   111"," 9.016393443"," 9.016393443"
"10055","melen","M","     3","75.000000000","75.000000000"
"10056","melvine","M","     3","75.000000000","75.000000000"
"10057","mendy","M","    59","58.741258741","58.741258741"
"10058","mery","F","    63"," 5.970149254"," 5.970149254"
"10059","meryl","F","   687"," 0.434782609"," 0.434782609"
"10060","mesmin","M","    17","89.570552147","89.570552147"
"10061","michael","M","     7","99.991808938","99.991808938"
"10062","michel","M","    11","99.997657322","99.997657322"
"10063","michele","F","125433"," 0.053386454"," 0.053386454"
"10064","mickael","M","     7","99.993916799","99.993916799"
"10065","miguel","M","    63","99.210724129","99.210724129"
"10066","mika","M","     3","76.923076923","76.923076923"
"10067","mina","F","  1105"," 0.270758123"," 0.270758123"
"10068","minh","M","     5","92.424242424","92.424242424"
"10069","modeste","M","    48","70.909090909","70.909090909"
"10070","moise","M","    41","98.235040895","98.235040895"
"10071","monique","F","182047"," 0.053803289"," 0.053803289"
"10072","morane","F","   211"," 6.637168142"," 6.637168142"
"10073","morgan","M","   949","95.864743562","95.864743562"
"10074","morgane","F"," 62767"," 0.027076962"," 0.027076962"
"10075","morgann","F","    34","43.333333333","43.333333333"
"10076","muriel","F"," 64200"," 0.029586260"," 0.029586260"
"10077","myriam","F"," 82707"," 0.013298194"," 0.013298194"
"10078","myrto","M","     3","82.352941176","82.352941176"
"10079","nael","M","     7","99.458623357","99.458623357"
"10080","nana","F","    62"," 8.823529412"," 8.823529412"
"10081","narcisse","M","    19","92.635658915","92.635658915"
"10082","nathael","M","     6","84.615384615","84.615384615"
"10083","nathalie","F","357609"," 0.005312783"," 0.005312783"
"10084","nathanael","M","     7","99.799426934","99.799426934"
"10085","nazaire","M","    46","85.016286645","85.016286645"
"10086","nehemie","F","    38","45.714285714","45.714285714"
"10087","neil","M","    22","93.251533742","93.251533742"
